Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,GV-RXVEGA64GAMING OC-8GD,Gigabyte,Gigabyte RX Vega 64 8GB Gaming OC,24,92.5,37689,https://gpu.userbenchmark.com/AMD-RX-Vega-64/Rating/3933
GPU,RX VEGA 64 AIR BOOST 8G OC,MSI,MSI RX Vega 64 8GB Gaming Air Boost,24,92.5,37689,https://gpu.userbenchmark.com/AMD-RX-Vega-64/Rating/3933
GPU,,Nvidia,Quadro P5000,25,92,3129,https://gpu.userbenchmark.com/SpeedTest/197331/NVIDIA-Quadro-P5000
GPU,,Nvidia,GTX 1070-Ti,26,91.5,136919,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,ROG-STRIX-GTX1070TI-A8G-GAMING,Asus,Asus GTX 1070 Ti 8GB STRIX,26,91.5,136919,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,GTX 1070 TI GAMING 8G,MSI,MSI GTX 1070 Ti 8GB Gaming,26,91.5,136919,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,08G-P4-5671-KR,EVGA,EVGA GTX 1070 Ti 8GB SC GAMING,26,91.5,136919,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,GV-N107TGAMING OC-8GD,Gigabyte,Gigabyte GTX 1070 Ti 8GB Gaming OC,26,91.5,136919,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,GTX 1070 TI AERO 8G,MSI,MSI GTX 1070 Ti 8GB Aero,26,91.5,136919,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,ROG-STRIX-GTX1070TI-8G-GAMING,Asus,Asus GTX 1070 Ti 8GB ROG Strix Gaming,26,91.5,136919,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,08G-P4-6775-KR,EVGA,EVGA GTX 1070 Ti 8GB FTW2 GAMING,26,91.5,136919,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,GV-N107TGAMING-8GD,Gigabyte,Gigabyte GTX 1070 Ti 8GB Gaming,26,91.5,136919,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
